OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,SHAPE_Area
98,7,MOUNT EMILY,RCSZ07,Y,ROCHOR,RC,CENTRAL REGION,CR,D8225E737A6496B4,2014/12/05,29583.25550000000,31639.48100000000,2301.23030004000,193992.34527799999
99,4,ROCHOR CANAL,RCSZ04,Y,ROCHOR,RC,CENTRAL REGION,CR,6DFA7E9068F7B4CE,2014/12/05,30693.78300000000,31819.13160000000,1686.00945279000,120171.32121400000
100,9,CRAWFORD,KLSZ09,N,KALLANG,KL,CENTRAL REGION,CR,97A1E6DEEC6C442D,2014/12/05,31396.89060000000,31457.28700000000,4634.78429572000,850853.91377400002
101,5,MARGARET DRIVE,QTSZ05,N,QUEENSTOWN,QT,CENTRAL REGION,CR,F7ADADFB700DFB84,2014/12/05,25202.76140000000,31065.97310000000,5969.64503933000,1026467.39275999996
102,1,TANGLIN,ORSZ01,Y,ORCHARD,OR,CENTRAL REGION,CR,876C892801F74239,2014/12/05,27162.87570000000,31905.73240000000,1864.48866532000,167537.06538399999
103,3,MARINE PARADE,MPSZ03,N,MARINE PARADE,MP,CENTRAL REGION,CR,44613908A004F20C,2014/12/05,36263.98270000000,31684.26560000000,6019.27909596000,1160017.47826000000
104,7,JURONG RIVER,JESZ07,N,JURONG EAST,JE,WEST REGION,WR,4B0C61FF99008ACC,2014/12/05,16367.55600000000,33519.99260000000,6612.90323098000,2560995.93712999998
105,2,GEYLANG BAHRU,KLSZ02,N,KALLANG,KL,CENTRAL REGION,CR,F1279A5E67F0E58D,2014/12/05,32110.06260000000,33765.67460000000,3745.03401723000,735502.22642399999
106,3,FABER,CLSZ03,N,CLEMENTI,CL,WEST REGION,WR,180FC14DBEF3A0A4,2014/12/05,19489.65590000000,33800.86620000000,4665.75598129000,948158.91354300000
107,3,MALCOLM,NVSZ03,N,NOVENA,NV,CENTRAL REGION,CR,554AD3E3224BB5DD,2014/12/05,28070.25840000000,33930.25680000000,5346.80971968000,1321089.88085999992
108,6,BEDOK SOUTH,BDSZ06,N,BEDOK,BD,EAST REGION,ER,1E89C4218E6421C2,2014/12/05,40379.42080000000,33744.22380000000,7811.58902531000,2997307.45855000010
109,1,BENDEMEER,KLSZ01,N,KALLANG,KL,CENTRAL REGION,CR,69C9F7CD6F08EA3A,2014/12/05,31175.95710000000,33827.94450000000,5603.00091056000,1376830.04526999989
110,1,BALESTIER,NVSZ01,N,NOVENA,NV,CENTRAL REGION,CR,779D071A741FD0DE,2014/12/05,29975.26390000000,34194.06760000000,6804.34101071000,1926622.00222999998
111,4,TUAS BAY,TSSZ04,N,TUAS,TS,WEST REGION,WR,B16AC41469AD9EB5,2014/12/05,6921.15880000000,33401.41890000000,10583.71112630000,3203306.03725000005
112,1,JOO KOON,PNSZ01,N,PIONEER,PN,WEST REGION,WR,B1041F5E831D2636,2014/12/05,10883.94660000000,34203.69590000000,8601.20281636000,2349378.26566000003
113,1,KALLANG WAY,GLSZ01,N,GEYLANG,GL,CENTRAL REGION,CR,C96E4D530743AF4C,2014/12/05,32761.49230000000,34229.71920000000,4055.20272344000,963198.87940300000
114,6,INTERNATIONAL BUSINESS PARK,JESZ06,N,JURONG EAST,JE,WEST REGION,WR,98C98587CD02475A,2014/12/05,18514.59950000000,34285.79720000000,3024.27583667000,485022.30640499998
115,1,TUKANG,BLSZ01,N,BOON LAY,BL,WEST REGION,WR,6CCF8637EBA7EA5E,2014/12/05,14192.46540000000,34209.55060000000,6899.99945558000,1881305.82857999997
116,6,CORONATION ROAD,BTSZ06,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,5DB075FA57F73ADC,2014/12/05,24463.14900000000,34200.33390000000,5905.90419263000,1425083.17678999994
117,3,KEMBANGAN,BDSZ03,N,BEDOK,BD,EAST REGION,ER,528DB1419283465B,2014/12/05,37158.70150000000,34115.96830000000,6785.11170732000,2387277.53159999987
118,2,KATONG,MPSZ02,N,MARINE PARADE,MP,CENTRAL REGION,CR,55705659E2A91D11,2014/12/05,35680.90070000000,32176.35060000000,5062.81485069000,1078992.02527999994
119,2,HOLLAND DRIVE,QTSZ02,N,QUEENSTOWN,QT,CENTRAL REGION,CR,A29DC7655F65E7B3,2014/12/05,23711.43700000000,32294.77210000000,3420.32933726000,459546.28581700003
120,1,FARRER PARK,RCSZ01,Y,ROCHOR,RC,CENTRAL REGION,CR,710C13F4E3EDBBE6,2014/12/05,30093.41520000000,32386.21070000000,2540.96036282000,247887.63302099999
121,3,NEWTON CIRCUS,NTSZ03,Y,NEWTON,NT,CENTRAL REGION,CR,8B2F19EEE51EDA60,2014/12/05,28587.16260000000,32653.94280000000,2399.40729971000,213581.64204199999
122,9,JURONG PORT,JESZ09,N,JURONG EAST,JE,WEST REGION,WR,0664CA7EF6504AE5,2014/12/05,15250.74330000000,32183.91600000000,11355.00222430000,2464856.70116000017
123,3,SAMULUN,BLSZ03,N,BOON LAY,BL,WEST REGION,WR,F78E0287D3F24214,2014/12/05,13418.49220000000,32264.59330000000,8738.67938511000,1940693.42431999999
124,4,SHIPYARD,BLSZ04,N,BOON LAY,BL,WEST REGION,WR,274A049950D70524,2014/12/05,11970.14280000000,32202.38540000000,6422.04211201000,2118499.40876000002
125,1,GHIM MOH,QTSZ01,N,QUEENSTOWN,QT,CENTRAL REGION,CR,00F5E30B5C9B7AD8,2014/12/05,22899.18970000000,32579.93530000000,3223.64550359000,485046.92271700001
126,6,LAVENDER,KLSZ06,N,KALLANG,KL,CENTRAL REGION,CR,A7A07F328A38B6EF,2014/12/05,30874.40640000000,32569.52640000000,3609.15046338000,757907.61110200000
127,2,GOODWOOD PARK,NTSZ02,Y,NEWTON,NT,CENTRAL REGION,CR,254596A2516A7DBA,2014/12/05,28108.88070000000,32875.26700000000,2798.59850101000,351242.25360200001
128,9,PANDAN,CLSZ09,N,CLEMENTI,CL,WEST REGION,WR,A6EE4A49376B69C4,2014/12/05,19228.60330000000,32265.40100000000,5689.64694413000,1312922.68121000007
129,9,SINGAPORE POLYTECHNIC,QTSZ09,N,QUEENSTOWN,QT,CENTRAL REGION,CR,8E9608C7B3B27AD7,2014/12/05,21751.75100000000,32627.89470000000,4666.97006782000,946651.41864499997
130,6,CLEMENTI CENTRAL,CLSZ06,N,CLEMENTI,CL,WEST REGION,WR,B2C4E087B443854E,2014/12/05,20183.44960000000,32707.53940000000,3630.18922323000,748043.27672800003
131,7,KAMPONG JAVA,KLSZ07,N,KALLANG,KL,CENTRAL REGION,CR,B548D80BC47261CB,2014/12/05,29891.53110000000,32888.52970000000,4344.61217096000,1022292.30058000004
132,3,BOON KENG,KLSZ03,N,KALLANG,KL,CENTRAL REGION,CR,0D1D1759D7BC6D6C,2014/12/05,32338.32120000000,33018.76070000000,2972.11104541000,410994.54470199998
133,8,KALLANG BAHRU,KLSZ08,N,KALLANG,KL,CENTRAL REGION,CR,F605DD67E5154CFB,2014/12/05,31579.28890000000,32929.52760000000,3710.90460199000,839488.97718599997
134,4,ULU PANDAN,BTSZ04,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,FF2AA0D68743AE28,2014/12/05,22210.50930000000,33177.22080000000,6626.66718328000,1228487.73417000007
135,5,JURONG GATEWAY,JESZ05,N,JURONG EAST,JE,WEST REGION,WR,857DAA77ED3346BF,2014/12/05,17912.97780000000,35033.90610000000,3096.98410990000,554623.67571700003
136,3,HOLLAND ROAD,BTSZ03,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,12A4B25B07B14D08,2014/12/05,22485.01930000000,34364.28960000000,8185.19732328000,3392897.36359000020
137,3,KAMPONG UBI,GLSZ03,N,GEYLANG,GL,CENTRAL REGION,CR,12CC0A25547E67F9,2014/12/05,35039.54950000000,34647.26330000000,5573.53291765000,1878092.47785999998
138,11,SENNETT,TPSZ11,N,TOA PAYOH,TP,CENTRAL REGION,CR,323E7ABC6E27B92B,2014/12/05,32485.48980000000,35050.19650000000,3836.10579302000,867750.43733200000
