postcode,szzcd,district
151009,BM,03
151010,BM,03
151011,BM,03
151012,BM,03
151013,BM,03
151014,BM,03
151017,BM,03
151018,BM,03
151019,BM,03
151020,BM,03
151021,BM,03
151022,BM,03
151028,BM,03
151039,BM,03
151040,BM,03
151047,BM,03
151048,BM,03
151055,BM,03
151057,BM,03
151063,BM,03
151073,BM,03
151074,BM,03
151075,BM,03
151076,BM,03
151077,BM,03
151116,BM,03
151117,BM,03
151119,BM,03
151121,BM,03
151123,BM,03
151124,BM,03
151125,BM,03
151126,BM,03
152028,BM,03
152063,BM,03
152075,BM,03
152119,BM,03
152120,BM,03
152124,BM,03
153075,BM,03
160001,BM,03
160003,BM,03
160005,BM,03
160007,BM,03
160009,BM,03
160010,BM,03
160020,BM,03
160022,BM,03
160024,BM,03
160026,BM,03
160027,BM,03
160028,BM,03
160030,BM,03
160032,BM,03
160033,BM,03
160034,BM,03
160035,BM,03
160036,BM,03
160037,BM,03
160038,BM,03
160040,BM,03
160041,BM,03
160042,BM,03
160043,BM,03
160044,BM,03
160045,BM,03
160046,BM,03
160047,BM,03
160048,BM,03
160049,BM,03
160050,BM,03
160051,BM,03
160052,BM,03
160053,BM,03
160055,BM,03
160056,BM,03
160057,BM,03
160058,BM,03
160059,BM,03
160064,BM,03
160065,BM,03
160066,BM,03
160071,BM,03
160072,BM,03
160073,BM,03
160074,BM,03
160075,BM,03
160076,BM,03
160077,BM,03
160078,BM,03
160079,BM,03
160080,BM,03
160081,BM,03
160082,BM,03
160087,BM,03
160094,BM,03
160095,BM,03
160104,BM,03
160105,BM,03
160106,BM,03
160107,BM,03
160108,BM,03
160109,BM,03
160110,BM,03
160111,BM,03
160113,BM,03
160115,BM,03
160116,BM,03
160117,BM,03
160120,BM,03
160121,BM,03
160122,BM,03
160123,BM,03
160124,BM,03
160125,BM,03
160128,BM,03
160129,BM,03
160130,BM,03
160131,BM,03
160132,BM,03
160133,BM,03
160134,BM,03
160135,BM,03
160136,BM,03
160137,BM,03
160138,BM,03
160139,BM,03
160140,BM,03
160141,BM,03
160142,BM,03
160143,BM,03
160144,BM,03
160145,BM,03
160146,BM,03
160147,BM,03
160148,BM,03
160149,BM,03
160150,BM,03
161001,OP,03
161002,OP,03
161003,OP,03
161004,OP,03
161005,OP,03
161006,OP,03
161008,OP,03
161010,OP,03
161014,OP,03
161017,OP,03
161019,OP,03
161021,OP,03
161023,OP,03
161025,OP,03
161029,OP,03
161034,OP,03
161036,OP,03
161038,OP,03
161042,OP,03
161044,OP,03
161046,OP,03
161048,OP,03
161050,OP,03
161052,OP,03
161053,OP,03
161054,OP,03
161055,OP,03
161056,OP,03
161057,OP,03
161058,OP,03
161077,OP,03
161078,OP,03
161079,OP,03
161118,BM,03
161120,BM,03
161121,BM,03
161126,BM,03
161127,BM,03
162002,BM,03
162004,BM,03
162006,BM,03
162008,BM,03
162009,BM,03
162010,BM,03
162011,BM,03
162012,BM,03
162013,BM,03
162018,BM,03
162025,BM,03
162026,BM,03
162078,BM,03
162118,BM,03
162119,BM,03
162131,BM,03
163002,OP,03
163004,OP,03
163006,OP,03
163008,OP,03
163009,OP,03
163012,OP,03
163016,OP,03
163017,OP,03
163018,OP,03
163019,OP,03
163020,OP,03
163021,OP,03
163023,OP,03
163027,OP,03
163028,OP,03
163078,OP,03
163118,BM,03
163119,BM,03
163126,BM,03
163127,BM,03
163131,BM,03
164002,BM,03
164004,BM,03
164006,BM,03
164008,BM,03
164010,BM,03
164020,BM,03
164024,BM,03
164025,BM,03
164026,BM,03
164027,BM,03
164118,BM,03
164119,BM,03
164127,BM,03
165004,BM,03
165006,BM,03
165008,BM,03
165022,BM,03
165026,BM,03
166002,BM,03
166022,BM,03
166026,BM,03
167026,BM,03
168789,BM,03
168790,BM,03
180001,DT,07
180002,DT,07
180008,DT,07
180009,DT,07
180010,DT,07
180232,DT,07
180233,DT,07
180262,DT,07
180263,DT,07
180264,DT,07
180271,DT,07
181003,DT,07
181004,DT,07
181269,RC,07
182269,RC,07
183269,RC,07
190001,KL,07
190002,KL,07
190003,KL,07
190004,KL,07
190005,KL,07
190006,KL,07
190007,KL,07
190008,KL,07
190009,KL,07
190010,KL,07
190012,KL,07
190015,KL,07
190017,KL,07
190018,KL,07
190019,KL,07
190461,KL,07
190462,KL,07
190463,KL,07
190466,KL,07
190467,KL,07
190468,KL,07
200001,KL,08
200002,KL,08
200008,KL,08
200025,KL,08
200026,KL,08
200027,KL,08
200028,KL,08
200029,KL,08
200030,KL,08
200632,RC,08
200633,RC,08
200634,RC,08
200635,RC,08
200636,RC,08
200637,RC,08
200639,RC,08
200640,RC,08
200641,RC,08
200642,RC,08
200801,KL,08
200802,KL,08
200804,KL,08
200805,KL,08
200806,KL,08
200807,KL,08
200811,KL,08
200813,KL,08
200815,KL,08
200816,KL,08
201007,KL,08
210009,KL,08
210010,KL,08
210011,KL,08
210012,KL,08
210013,KL,08
210015,KL,08
210037,KL,08
210038,KL,08
210039,KL,08
210040,KL,08
210041,KL,08
210042,KL,08
210043,KL,08
210044,KL,08
210046,KL,08
210047,KL,08
210048,KL,08
210049,KL,08
210050,KL,08
210051,KL,08
210052,KL,08
210053,KL,08
210054,KL,08
210661,RC,08
210662,RC,08
210663,RC,08
210664,RC,08
210668,RC,08
210681,RC,08
210682,RC,08
210683,RC,08
210684,RC,08
210685,RC,08
211048,KL,08
211671,RC,08
211672,RC,08
212671,RC,08
212672,RC,08
219679,KL,08
260001,BT,10
260002,BT,10
260003,BT,10
260004,BT,10
260005,BT,10
260006,BT,10
260008,BT,10
270001,QT,10
270002,QT,10
270003,QT,10
270004,QT,10
270005,QT,10
270006,QT,10
270007,QT,10
270008,QT,10
270013,QT,10
270014,QT,10
270015,QT,10
270016,QT,10
270017,QT,10
270018,QT,10
270019,QT,10
270021,QT,10
270026,QT,10
270027,QT,10
270028,QT,10
270030,QT,10
270031,QT,10
270032,QT,10
270040,QT,10
270041,QT,10
270042,QT,10
270043,QT,10
270045,QT,10
270046,QT,10
270047,QT,10
271001,QT,10
271002,QT,10
271003,QT,10
271004,QT,10
271006,QT,10
271008,QT,10
271010,QT,10
271011,QT,10
271013,QT,10
271020,QT,10
271021,QT,10
271022,QT,10
271023,QT,10
271030,QT,10
272003,QT,10
272005,QT,10
272009,QT,10
272012,QT,10
272018,QT,10
273018,QT,10
274018,QT,10
275018,QT,10
278178,BT,10
300069,NV,11
310001,TP,12
310002,TP,12
310003,TP,12
310004,TP,12
310005,TP,12
310006,TP,12
310007,TP,12
310008,TP,12
310009,TP,12
310010,TP,12
310011,TP,12
310012,TP,12
310013,TP,12
310014,TP,12
310015,TP,12
310017,TP,12
310018,TP,12
310020,TP,12
310023,TP,12
310025,TP,12
310026,TP,12
310027,TP,12
310029,TP,12
310031,TP,12
310034,TP,12
310035,TP,12
310036,TP,12
310037,TP,12
310038,TP,12
310043,TP,12
310044,TP,12
310045,TP,12
310046,TP,12
310047,TP,12
310048,TP,12
310049,TP,12
310050,TP,12
310051,TP,12
310052,TP,12
310053,TP,12
310054,TP,12
310055,TP,12
310056,TP,12
310057,TP,12
310058,TP,12
310059,TP,12
310060,TP,12
310061,TP,12
310062,TP,12
310063,TP,12
310064,TP,12
310066,TP,12
310068,TP,12
310069,TP,12
310070,TP,12
310071,TP,12
310072,TP,12
310073,TP,12
310080,TP,12
310081,TP,12
310082,TP,12
310083,TP,12
310084,TP,12
310085,TP,12
310086,TP,12
310091,TP,12
310092,TP,12
310094,TP,12
310095,TP,12
310096,TP,12
310097,TP,12
310098,TP,12
310099,TP,12
310100,TP,12
310101,TP,12
310103,TP,12
310104,TP,12
310105,TP,12
310106,TP,12
310107,TP,12
310108,TP,12
310109,TP,12
310110,TP,12
310111,TP,12
310112,TP,12
310113,TP,12
310114,TP,12
310115,TP,12
310116,TP,12
310117,TP,12
310118,TP,12
310119,TP,12
310120,TP,12
310121,TP,12
310122,TP,12
310123,TP,12
310124,TP,12
310125,TP,12
310126,TP,12
310128,TP,12
310142,TP,12
310143,TP,12
310144,TP,12
310145,TP,12
310146,TP,12
310147,TP,12
310148,TP,12
310149,TP,12
310150,TP,12
310152,TP,12
310153,TP,12
310154,TP,12
310155,TP,12
310156,TP,12
310157,TP,12
310158,TP,12
310159,TP,12
310160,TP,12
310161,TP,12
310163,TP,12
310168,TP,12
310169,TP,12
310170,TP,12
310171,TP,12
310172,TP,12
310173,TP,12
310174,TP,12
310175,TP,12
310177,TP,12
310178,TP,12
310179,TP,12
310183,TP,12
310184,TP,12
310185,TP,12
310186,TP,12
310191,TP,12
310193,TP,12
310194,TP,12
310195,TP,12
310199,TP,12
310200,TP,12
310201,TP,12
310202,TP,12
310203,TP,12
310204,TP,12
310205,TP,12
310206,TP,12
310207,TP,12
310208,TP,12
310209,TP,12
310213,TP,12
310214,TP,12
310215,TP,12
310216,TP,12
310217,TP,12
310218,TP,12
310219,TP,12
310220,TP,12
310221,TP,12
310222,TP,12
310223,TP,12
310224,TP,12
310225,TP,12
310226,TP,12
310227,TP,12
310228,TP,12
310229,TP,12
310230,TP,12
310231,TP,12
310232,TP,12
310233,TP,12
310234,TP,12
310235,TP,12
310236,TP,12
310237,TP,12
310238,TP,12
310239,TP,12
310240,TP,12
310241,TP,12
310242,TP,12
310243,TP,12
310244,TP,12
310245,TP,12
310246,TP,12
310247,TP,12
310248,TP,12
310249,TP,12
310250,TP,12
310251,TP,12
310252,TP,12
310253,TP,12
310254,TP,12
310255,TP,12
310256,TP,12
310257,TP,12
310258,TP,12
310259,TP,12
311014,TP,12
311079,TP,12
311080,TP,12
311081,TP,12
311082,TP,12
311084,TP,12
311085,TP,12
311099,TP,12
311101,TP,12
311138,TP,12
311139,TP,12
311141,TP,12
311153,TP,12
311172,TP,12
312010,TP,12
312014,TP,12
312062,TP,12
312079,TP,12
312080,TP,12
312081,TP,12
312082,TP,12
312084,TP,12
312085,TP,12
312099,TP,12
312138,TP,12
312139,TP,12
313079,TP,12
313085,TP,12
313138,TP,12
314079,TP,12
315079,TP,12
320001,KL,12
320003,KL,12
320005,KL,12
320006,KL,12
320007,KL,12
320008,KL,12
320009,KL,12
320010,KL,12
320011,KL,12
320012,KL,12
320013,KL,12
320014,KL,12
320015,KL,12
320016,KL,12
320017,KL,12
320018,KL,12
320019,KL,12
320020,KL,12
320021,KL,12
320022,KL,12
320023,KL,12
320027,KL,12
320028,KL,12
320029,KL,12
320030,KL,12
320032,KL,12
