postcode,lat,lng,district
680526,1.389457,103.743051,23
680527,1.389457,103.743051,23
680528,1.389457,103.743051,23
680529,1.389457,103.743051,23
680530,1.389457,103.743051,23
680531,1.389457,103.743051,23
680535,1.389457,103.743051,23
680536,1.389457,103.743051,23
680537,1.389457,103.743051,23
680540,1.389457,103.743051,23
680541,1.389457,103.743051,23
680542,1.389457,103.743051,23
680543,1.389457,103.743051,23
680544,1.389457,103.743051,23
680545,1.389457,103.743051,23
680546,1.389457,103.743051,23
680547,1.389457,103.743051,23
680548,1.389457,103.743051,23
680549,1.389457,103.743051,23
680550,1.389457,103.743051,23
680551,1.389457,103.743051,23
680552,1.389457,103.743051,23
680553,1.389457,103.743051,23
680554,1.389457,103.743051,23
680555,1.389457,103.743051,23
680556,1.389457,103.743051,23
680557,1.389457,103.743051,23
680558,1.389457,103.743051,23
680559,1.389457,103.743051,23
680560,1.389457,103.743051,23
680561,1.389457,103.743051,23
680562,1.389457,103.743051,23
680563,1.389457,103.743051,23
680564,1.389457,103.743051,23
680565,1.389457,103.743051,23
680566,1.389457,103.743051,23
680567,1.389457,103.743051,23
680568,1.389457,103.743051,23
680569,1.389457,103.743051,23
680570,1.389457,103.743051,23
680571,1.389457,103.743051,23
680572,1.389457,103.743051,23
680573,1.389457,103.743051,23
680574,1.389457,103.743051,23
680601,1.396952,103.7448409,23
680602,1.396952,103.7448409,23
680603,1.396952,103.7448409,23
680604,1.396952,103.7448409,23
680605,1.396952,103.7448409,23
680606,1.396952,103.7448409,23
680607,1.396952,103.7448409,23
680608,1.396952,103.7448409,23
680609,1.396952,103.7448409,23
680610,1.396952,103.7448409,23
680611,1.396952,103.7448409,23
680612,1.396952,103.7448409,23
680613,1.396952,103.7448409,23
680614,1.396952,103.7448409,23
680615,1.396952,103.7448409,23
680616,1.396952,103.7448409,23
680617,1.396952,103.7448409,23
680618,1.396952,103.7448409,23
680619,1.396952,103.7448409,23
680620,1.396952,103.7448409,23
680621,1.396952,103.7448409,23
680625,1.396952,103.7448409,23
680626,1.396952,103.7448409,23
680627,1.396952,103.7448409,23
680631,1.396952,103.7448409,23
