OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,SHAPE_Area,ADDRESS
11,12,KENT RIDGE,QTSZ12,N,QUEENSTOWN,QT,CENTRAL REGION,CR,601BA309A1AAC731,2014/12/05,23464.84090000000,29725.37060000000,7439.54765630000,1826848.56058000005,"National University Of Singapore (NUS) - Kent Ridge Hall, 10 Heng Mui Keng Terrace, Singapore 119617; The Foliage, 370 Pasir Panjang Road, Singapore 118707; 8 Heng Mui Keng Terrace, Singapore 119612; 6 Heng Mui Keng Terrace, Singapore 119610; 4B Heng Mui Keng Terrace, Singapore 119608; The Foliage, 372 Pasir Panjang Road, Singapore 118709; 4A Heng Mui Keng Terrace, Singapore 119607; 4 Heng Mui Keng Terrace, Singapore 119606; National University of Singapore (NUS) - Mochtar Riady Building (BIZ1), 15 Kent Ridge Drive, Singapore 119245; Wilmer Lodge, 2 Heng Mui Keng Terrace, Singapore 119600"
12,6,ALEXANDRA NORTH,BMSZ06,N,BUKIT MERAH,BM,CENTRAL REGION,CR,4DC4BF8D86594CBF,2014/12/05,26548.25070000000,30519.39220000000,2907.05146074000,293706.39880400000,"Bus stop at Anchor Point (11521); IKEA Alexandra, 317 Alexandra Road, Singapore 159965; Anchorpoint Shopping Centre, 370 Alexandra Road, Singapore 159953; Anchorpoint Shopping Centre, 368 Alexandra Road, Singapore 159952; Alexandra Central, 323 Alexandra Road, Singapore 159972; Bus stop before IKEA Industrial Building (11529); The Anchorage, 370J Alexandra Road, Singapore 159962"
13,1,MARINA EAST,MESZ01,Y,MARINA EAST,ME,CENTRAL REGION,CR,782A2FAF53029A34,2014/12/05,32344.04890000000,30103.24950000000,6470.94964274000,1844060.67467999994,
14,5,INSTITUTION HILL,RVSZ05,Y,RIVER VALLEY,RV,CENTRAL REGION,CR,C3C22D1EE31757BD,2014/12/05,28465.39990000000,30711.21790000000,2842.52550488000,392563.33976000000,"Institution Ville, 11 Institution Hill, Singapore 239666; 10B Institution Hill, Singapore 239665; 15 Institution Hill, Singapore 239669; 17 Institution Hill, Singapore 239670; 10A Institution Hill, Singapore 239664; 19 Institution Hill, Singapore 239671; River Valley Conservation Area, 289 River Valley Road, Singapore 238330; Aspen Heights, 263 River Valley Road, Singapore 238309; River Valley Conservation Area, 293 River Valley Road, Singapore 238334; River Valley Conservation Area, 291 River Valley Road, Singapore 238332"
15,1,ROBERTSON QUAY,SRSZ01,Y,SINGAPORE RIVER,SR,CENTRAL REGION,CR,DF71BB5EC3C9FFD1,2014/12/05,28416.84770000000,30409.36070000000,4995.75811436000,506588.95975099999,"7 Rodyk Street, Singapore 238215; Watermark Robertson Quay, 3 Rodyk Street, Singapore 238213; Up@Robertson Quay, 90 Robertson Quay, Singapore 238259; 92 Robertson Quay, Singapore 238260; 1 Rodyk Street, Singapore 238212; Robertson 100, 100 Robertson Quay, Singapore 238250; Gallery Hotel, 1 Nanson Road, Singapore 238909; 8 Rodyk, 8 Rodyk Street, Singapore 238216; 84 Robertson Quay, Singapore 238243; 86 Robertson Quay, Singapore 238245"
16,1,JURONG ISLAND AND BUKOM,WISZ01,N,WESTERN ISLANDS,WI,WEST REGION,WR,699F7210FBF1AFA8,2014/12/05,13012.88050000000,27225.86740000000,68083.93647080001,36707720.91879999638,
17,3,SUDONG,WISZ03,N,WESTERN ISLANDS,WI,WEST REGION,WR,F718C723E08FBD51,2014/12/05,15931.75860000000,19579.06900000000,24759.06579730000,4207271.09353000019,
18,2,SEMAKAU,WISZ02,N,WESTERN ISLANDS,WI,WEST REGION,WR,E69207D4F76DEEA3,2014/12/05,21206.33380000000,20465.80750000000,18703.68114040000,4963787.10446999967,
19,2,SOUTHERN GROUP,SISZ02,N,SOUTHERN ISLANDS,SI,CENTRAL REGION,CR,5809FC547293EA2D,2014/12/05,29815.09000000000,23412.58660000000,25626.97718970000,2206319.45626999997,"Showplace (Resorts World Sentosa), 26 Sentosa Gateway, Singapore 098138"
20,1,SENTOSA,SISZ01,N,SOUTHERN ISLANDS,SI,CENTRAL REGION,CR,A6FCDC9C447952CB,2014/12/05,27593.93930000000,25813.35460000000,17496.19373690000,4919132.36978000030,"47 Serapong Course Road, Singapore 099024"
21,17,CITY TERMINALS,BMSZ17,N,BUKIT MERAH,BM,CENTRAL REGION,CR,9711879901A8487F,2014/12/05,28387.33880000000,27536.56710000000,16805.65550230000,3449640.60706999991,
22,10,ANSON,DTSZ10,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,4893F02202845C1D,2014/12/05,29145.35000000000,28466.77830000000,1586.10005898000,103238.48213900000,"Apex Tower, 70 Anson Road, Singapore 079905; Bus stop at Hub Synergy Point (03222); Anson House, 72 Anson Road, Singapore 079911; M Hotel Singapore, 81 Anson Road, Singapore 079908; Lippo Centre, 78 Shenton Way, Singapore 079120; Realty Centre, 15 Enggor Street, Singapore 079716; Skysuites@Anson, 8 Enggor Street, Singapore 079718"
