OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,SHAPE_Area,ADDRESS
57,1,DHOBY GHAUT,MUSZ01,Y,MUSEUM,MU,CENTRAL REGION,CR,AD3DE26295353551,2014/12/05,29320.07350000000,31245.74830000000,2584.78830957000,221973.34182700000,"Bus stop at Dhoby Ghaut MRT (08057); Dhoby Ghaut MRT Station (NE6/NS24/CC1), 11 Orchard Road, Singapore 238826; The Atrium @ Orchard, 60B Orchard Road, Singapore 238891; The Atrium @ Orchard, 60 Orchard Road, Singapore 238889; The Atrium @ Orchard, 60A Orchard Road, Singapore 238890; Macdonald House, 40A Orchard Road, Singapore 238838; Bus stop at Dhoby Ghaut MRT (08031); Macdonald House, 40 Orchard Road, Singapore 238837; Dhoby Ghaut MRT Station, 13 Orchard Road, Singapore 238893; 10 Penang Road, Singapore 238469"
58,1,BUGIS,DTSZ01,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,E042FEB6C937D5A5,2014/12/05,30528.33470000000,31278.46440000000,2658.88164763000,280174.76669600001,"Bus stop at Bugis MRT (01059); 750 Victoria Street, Singapore 188062; Bus stop at Bugis MRT (01113); 320 Victoria Street, Singapore 188045; Bugis MRT Station (EW12/DT14), 220 Victoria Street, Singapore 188022; Bugis Junction, 230 Victoria Street, Singapore 188024; 157 Rochor Road, Singapore 188432; 160 Rochor Road, Singapore 188435; Bus stop at Parkview Square (01139); 191 Rochor Road, Singapore 188476"
59,10,VICTORIA,RCSZ10,Y,ROCHOR,RC,CENTRAL REGION,CR,DD1436D810825828,2014/12/05,30189.21010000000,31335.72520000000,2093.77023342000,214250.29812799999,"Bugis MRT Station (EW12/DT14), 220 Victoria Street, Singapore 188022; 320 Victoria Street, Singapore 188045; Bus stop at Bugis MRT (01059); Bus stop at Bugis MRT (01113); Bugis Village, 241 Victoria Street, Singapore 188030; 249 Victoria Street, Singapore 188034; 245 Victoria Street, Singapore 188032; 159 Rochor Road, Singapore 188434; 157 Rochor Road, Singapore 188432; 160 Rochor Road, Singapore 188435"
60,2,PATERSON,RVSZ02,Y,RIVER VALLEY,RV,CENTRAL REGION,CR,350FD169665248C4,2014/12/05,27809.31710000000,31511.37330000000,1753.92708041000,173121.77361999999,"International School Singapore (ISS) Paterson Campus - Middle School, 25 Paterson Road, Singapore 238510; 25B Paterson Road, Singapore 238512; 25C Paterson Road, Singapore 238513; 25F Paterson Road, Singapore 238515; Paterson Suites, 55 Paterson Road, Singapore 238550"
61,15,TELOK BLANGAH RISE,BMSZ15,N,BUKIT MERAH,BM,CENTRAL REGION,CR,92F3596780DFCCEA,2014/12/05,27029.96380000000,28501.66490000000,3713.83818129000,533671.25313600001,"Bus stop at Blk 36 Market / Food Centre (14489); 31 Telok Blangah Rise, Singapore 090031; 32 Telok Blangah Rise, Singapore 090032; Telok Blangah Rise Market, 36 Telok Blangah Rise, Singapore 090036; 35 Telok Blangah Rise, Singapore 090035; Bus stop at Blk 28 (14319)"
62,9,TANJONG PAGAR,DTSZ09,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,4FFE6642FB35D40A,2014/12/05,29397.83100000000,28706.35150000000,1787.71045089000,145518.66386800000,"Tanjong Pagar Centre, 5 Wallich Street, Singapore 078883; Maxwell Chambers, 32 Maxwell Road, Singapore 069115; Clermont Residence, 3 Wallich Street, Singapore 078882; Tanjong Pagar MRT Station (EW15), 120 Maxwell Road, Singapore 069119; 8 Shenton Way, Singapore 068811"
63,16,EVERTON PARK,BMSZ16,N,BUKIT MERAH,BM,CENTRAL REGION,CR,CF9CAD50B0D9A528,2014/12/05,28333.57710000000,28602.99260000000,3776.68338771000,635704.05666700006,"4 Everton Park, Singapore 080004; 1A Everton Park, Singapore 083001; 1 Everton Park, Singapore 081001; Maritime House, 120 Cantonment Road, Singapore 089760; 5 Everton Park, Singapore 080005; Bus stop at Maritime House (05521); 7 Everton Park, Singapore 080007; 2 Everton Park, Singapore 081002"
64,4,TANGLIN HALT,QTSZ04,N,QUEENSTOWN,QT,CENTRAL REGION,CR,5903D38684211B10,2014/12/05,23925.44080000000,31512.78570000000,3556.22909388000,503220.75138700003,"52 Tanglin Halt Road, Singapore 142052; Commonwealth 10, 52A Commonwealth Drive, Singapore 143052; Faith Methodist Church, 400 Commonwealth Drive, Singapore 149604; Commonwealth 10, 53 Commonwealth Drive, Singapore 142053; Commonwealth 10, 54 Commonwealth Drive, Singapore 142054; Commonwealth 10, 51 Commonwealth Drive, Singapore 141051"
65,6,MACKENZIE,RCSZ06,Y,ROCHOR,RC,CENTRAL REGION,CR,D51BAF9568A828F4,2014/12/05,29680.01820000000,32062.92630000000,1216.48063087000,55681.28248330000,"68 Mackenzie Road, Singapore 228687; 2 Mayne Road, Singapore 227963; 88 Mackenzie Road, Singapore 228697; 104 Mackenzie Road, Singapore 228705; 106 Mackenzie Road, Singapore 228706; 108 Mackenzie Road, Singapore 228707; 110 Mackenzie Road, Singapore 228708; Mackenzie Motor Vehicles Trading Centre, 73 Mackenzie Road, Singapore 228729; 114 Mackenzie Road, Singapore 228709; 116 Mackenzie Road, Singapore 228710"
66,3,SUNGEI ROAD,RCSZ03,Y,ROCHOR,RC,CENTRAL REGION,CR,31DE89B5FC57F46A,2014/12/05,30601.34450000000,32003.10280000000,1727.96350256000,116329.99656499999,"Hotel 81 Rochor, 5 Jalan Besar, Singapore 208785; Mayo Inn Hotel, 9 Jalan Besar, Singapore 208786; Little India Conservation Area, 13 Jalan Besar, Singapore 208789; Little India Conservation Area, 15 Jalan Besar, Singapore 208790; Little India Conservation Area, 3 Mayo Street, Singapore 208303; Little India Conservation Area, 17 Jalan Besar, Singapore 208791; Little India Conservation Area, 2 Mayo Street, Singapore 208302; Little India Conservation Area, 19 Jalan Besar, Singapore 208792; Little India Conservation Area, 4 Mayo Street, Singapore 208304; Little India Conservation Area, 5 Mayo Street, Singapore 208305"
67,8,ONE NORTH,QTSZ08,N,QUEENSTOWN,QT,CENTRAL REGION,CR,D437A9A68F04D2D4,2014/12/05,23299.24370000000,31176.16050000000,6591.90791444000,2051652.62174000009,"One-North MRT Station  (CC23), 9 Ayer Rajah Avenue, Singapore 138647; Bus stop opposite JVC Electronics (18051); Fusionopolis (Symbiosis), 3 Fusionopolis Way, Singapore 138633; Bus stop at JVC Electronics (18059); Fusionopolis (Connexis), 1 Fusionopolis Way, Singapore 138632; Galaxis, 3 Fusionopolis Place, Singapore 138523; Insead, 1 Ayer Rajah Avenue, Singapore 138676"
68,5,TANJONG RHU,KLSZ05,N,KALLANG,KL,CENTRAL REGION,CR,928DCE8E44F904C8,2014/12/05,32740.12080000000,31438.30840000000,6515.75857503000,2434594.02911000000,"Costa Rhu, 9 Rhu Cross, Singapore 437436; Bus stop opposite Costa Rhu Condominium (90079); Costa Rhu, 7 Rhu Cross, Singapore 437435"
69,1,MOUNTBATTEN,MPSZ01,N,MARINE PARADE,MP,CENTRAL REGION,CR,A9F9036C2E4F7623,2014/12/05,34449.70440000000,31557.74460000000,5430.26706103000,1713623.00463999994,"Mountbatten MRT Station (CC7), 301 Mountbatten Road, Singapore 398006; 3A Pine Close, Singapore 393003; 5 Pine Close, Singapore 391005; 3 Pine Close, Singapore 392003"
70,3,COMMONWEALTH,QTSZ03,N,QUEENSTOWN,QT,CENTRAL REGION,CR,2423D1D91E730899,2014/12/05,24278.77090000000,31919.97000000000,2713.42997115000,310513.64737399999,"Commonwealth MRT Station (EW20), 375 Commonwealth Avenue, Singapore 149735; Bus stop at Commonwealth MRT (11169); Bus stop at Commonwealth MRT (11161); Faith Methodist Church, 400 Commonwealth Drive, Singapore 149604"
71,10,DOVER,QTSZ10,N,QUEENSTOWN,QT,CENTRAL REGION,CR,D79DDCEC02F8DF37,2014/12/05,22015.53240000000,31800.52470000000,5637.72200807000,1386643.31587999989,"Dover MRT Station (EW22), 200 Commonwealth Avenue West, Singapore 138677; Bus stop at Dover MRT (19031); Bus stop at Dover MRT (19039)"
72,3,RIDOUT,TNSZ03,N,TANGLIN,TN,CENTRAL REGION,CR,664D9D93F09E7CD1,2014/12/05,25568.30770000000,31752.66860000000,6450.97287923000,1951865.75496000005,"35 Ridout Road, Singapore 248431; 38 Ridout Road, Singapore 248436; 39A Ridout Road, Singapore 248438; 590 Queensway, Singapore 149072; 9 Swettenham Green, Singapore 248120; 38A Ridout Road, Singapore 248437; 31 Ridout Road, Singapore 248428; 36C Ridout Road, Singapore 248435"
73,4,CAIRNHILL,NTSZ04,Y,NEWTON,NT,CENTRAL REGION,CR,8B79CA72836AD7A6,2014/12/05,28482.66720000000,32108.19190000000,3853.90042330000,452471.83181900001,"Cairnhill Conservation Area, 68 Cairnhill Road, Singapore 229674; Cairnhill Conservation Area, 70 Cairnhill Road, Singapore 229676; Cairnhill Conservation Area, 72 Cairnhill Road, Singapore 229677; Cairnhill Conservation Area, 74 Cairnhill Road, Singapore 229678; Cairnhill Conservation Area, 76 Cairnhill Road, Singapore 229679; 15 Cairnhill Circle, Singapore 229815; Cairnhill Plaza, 53 Cairnhill Road, Singapore 229664; Cairnhill Conservation Area, 78 Cairnhill Road, Singapore 229680; Cairnhill Conservation Area, 80 Cairnhill Road, Singapore 229682; Cairnhill Conservation Area, 82 Cairnhill Road, Singapore 229684"
74,8,CLEMENTI WEST,CLSZ08,N,CLEMENTI,CL,WEST REGION,WR,22F5FFEEEB8E5284,2014/12/05,20184.35080000000,31651.88340000000,5211.86752843000,697501.71434800001,
75,6,TUAS VIEW EXTENSION,TSSZ06,N,TUAS,TS,WEST REGION,WR,D2A66C8A6232EA9A,2014/12/05,5092.89490000000,26137.87350000000,54928.09387420000,27710950.07539999858,
76,5,MONK'S HILL,NTSZ05,Y,NEWTON,NT,CENTRAL REGION,CR,23972F8A61891E05,2014/12/05,28922.84560000000,32259.78560000000,2446.73341643000,171720.62073000000,"4A Winstedt Road, Singapore 227984; 4C Winstedt Road, Singapore 227986; 4B Winstedt Road, Singapore 227985; 2A Winstedt Road, Singapore 227980; 2B Winstedt Road, Singapore 227981; 2C Winstedt Road, Singapore 227982; 2 Winstedt Road, Singapore 227979; 46A Monk's Hill Road, Singapore 228578; 46B Monk's Hill Road, Singapore 228579; 4 Winstedt Road, Singapore 227983"
77,7,SIGLAP,BDSZ07,N,BEDOK,BD,EAST REGION,ER,9483FA426FD007AE,2014/12/05,38435.46790000000,32101.88120000000,5436.89053335000,1097833.70301999990,"Frankel Estate, 32 Ettrick Terrace, Singapore 458594; 57 Siglap Road, Singapore 454969; East Coast Park, 326 Siglap Road, Singapore 455915; East Coast Park, 328 Siglap Road, Singapore 455916; 57A Siglap Road, Singapore 454968; East Coast Park, 324 Siglap Road, Singapore 455914; 30A Ettrick Terrace, Singapore 458597; East Coast Park, 330 Siglap Road, Singapore 455917; Frankel Estate, 30 Ettrick Terrace, Singapore 458593; East Coast Park, 322 Siglap Road, Singapore 455913"
78,7,CLEMENTI WOODS,CLSZ07,N,CLEMENTI,CL,WEST REGION,WR,F01FB50693FE0377,2014/12/05,20764.19800000000,31824.74210000000,5275.74935980000,1053493.74726999993,"Clementi Bible Centre, 152 West Coast Road, Singapore 127370; West Coast Community Centre (CC), 2 Clementi West Street 2, Singapore 129605"
79,5,PIONEER SECTOR,PNSZ05,N,PIONEER,PN,WEST REGION,WR,F3241D6C0FEF13ED,2014/12/05,8872.75010000000,31423.44340000000,8489.98257786000,2796006.82811000012,"5 Pioneer Sector Walk, Singapore 627896; 43 Pioneer Sector 2, Singapore 628394"
80,10,PENJURU CRESCENT,JESZ10,N,JURONG EAST,JE,WEST REGION,WR,BC263278706376DE,2014/12/05,17651.30900000000,31799.61020000000,9876.04909187000,3049720.08234000020,"Bus stop opposite Sunlight Timber (29029); Bus stop after Jalan Buroh (29021); 28C Penjuru Close, Singapore 609131"
81,1,ORANGE GROVE,NTSZ01,Y,NEWTON,NT,CENTRAL REGION,CR,136BF08C36E3A625,2014/12/05,27668.18410000000,32484.76400000000,2476.24629755000,336221.49409599998,"13 Orange Grove Road, Singapore 258347; Darby Park, 12 Orange Grove Road, Singapore 258353; 11 Orange Grove Road, Singapore 258346; Shangri-La Hotel, 22 Orange Grove Road, Singapore 258350"
82,4,KAMPONG BUGIS,KLSZ04,N,KALLANG,KL,CENTRAL REGION,CR,0524461C92F35D94,2014/12/05,32138.22160000000,32275.69070000000,4018.12762150000,741437.99224399996,"11 Kampong Bugis, Singapore 338988; Kallang Riverside, 51 Kampong Bugis, Singapore 338986"
83,2,BOULEVARD,ORSZ02,Y,ORCHARD,OR,CENTRAL REGION,CR,B26DFAF98B8F3E52,2014/12/05,27916.92710000000,31967.00640000000,4109.23134961000,460550.42984800000,"Bus stop at Midpoint Orchard (09038); Midpoint Orchard, 220 Orchard Road, Singapore 238852; OG Orchard, 228 Orchard Road, Singapore 238853; Orchard Emerald, 218 Orchard Road, Singapore 238851; Faber House, 230 Orchard Road, Singapore 238854; 313@Somerset, 313 Orchard Road, Singapore 238895; Emerald Hill Conservation Area, 3 Emerald Hill Road, Singapore 229288; Orchard Shopping Centre, 321 Orchard Road, Singapore 238866; Emerald Hill Conservation Area, 7 Emerald Hill Road, Singapore 229291; Emerald Hill Conservation Area, 5 Emerald Hill Road, Singapore 229289"
84,6,ISTANA NEGARA,NTSZ06,Y,NEWTON,NT,CENTRAL REGION,CR,A2FE23F6A19B509D,2014/12/05,29226.82840000000,31963.28940000000,3730.34105430000,543483.68099000002,
85,2,LITTLE INDIA,RCSZ02,Y,ROCHOR,RC,CENTRAL REGION,CR,BEC03B4580EB622F,2014/12/05,30307.51020000000,32122.99080000000,2203.28025819000,278303.54329599999,"662 Buffalo Road, Singapore 210662; Bus stop at Little India MRT (40011); Bus stop at LTA Hampshire Office (40019); Little India MRT Station (NE7), 60 Bukit Timah Road, Singapore 229900; 661 Buffalo Road, Singapore 210661; Little India Conservation Area, 72 Buffalo Road, Singapore 219810; Little India Conservation Area, 74 Buffalo Road, Singapore 219811; Little India Conservation Area, 70 Buffalo Road, Singapore 219809; Little India Conservation Area, 68 Buffalo Road, Singapore 219808; Little India Conservation Area, 66 Buffalo Road, Singapore 219807"
86,4,GUL BASIN,PNSZ04,N,PIONEER,PN,WEST REGION,WR,482D973AA378FFF0,2014/12/05,10327.42330000000,31746.76160000000,9465.22218290000,1769495.16100999992,
87,2,FORT CANNING,MUSZ02,Y,MUSEUM,MU,CENTRAL REGION,CR,B3E02024E600E8BA,2014/12/05,29413.97180000000,30713.07230000000,2585.22940432000,385093.11344699998,"62 Prinsep Street, Singapore 188660; 60 Prinsep Street, Singapore 188664; 68 Prinsep Street, Singapore 188661; 66 Prinsep Street, Singapore 188668; 70 Prinsep Street, Singapore 188662; 72 Prinsep Street, Singapore 188671; 64 Prinsep Street, Singapore 188667; 74 Prinsep Street, Singapore 188669; 30 Selegie Road, Singapore 188351; 76 Prinsep Street, Singapore 188663"
88,8,FARRER COURT,BTSZ08,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,709639180E81EC72,2014/12/05,24862.82170000000,33234.79510000000,4192.28952799000,558760.53159599996,"Farrer Road MRT Station (CC20), 71 Farrer Road, Singapore 268857; 6A Farrer Road, Singapore 261006; 6 Farrer Road, Singapore 260006; 2 Queen's Road, Singapore 260002; Woollerton Park, 18 Woollerton Park, Singapore 257524; Bus stop at Blk 2 (11111); 1 Queen's Road, Singapore 260001; 5 Farrer Road, Singapore 260005; Woollerton Park, 22 Woollerton Park, Singapore 257526; Bus stop at Blk 6 (11119)"
89,5,TUAS VIEW,TSSZ05,N,TUAS,TS,WEST REGION,WR,AE9636556732D218,2014/12/05,5753.63370000000,31501.45490000000,11013.62448540000,5675810.84628999978,"45 Tuas View Walk 2, Singapore 637622; 43 Tuas View Close, Singapore 637477; 47 Tuas View Walk 2, Singapore 637623; 45 Tuas View Close, Singapore 637476; 49 Tuas View Walk 2, Singapore 637624; 51 Tuas View Walk 2, Singapore 637625; 81 Tuas View Walk 1, Singapore 637620; 51 Tuas View Link, Singapore 637473; 47 Tuas View Close, Singapore 637475; 53 Tuas View Walk 2, Singapore 637626"
90,1,NASSIM,TNSZ01,N,TANGLIN,TN,CENTRAL REGION,CR,960862F1C1B08BFA,2014/12/05,27002.69280000000,32905.57600000000,6241.33287686000,2096085.23017999995,"34C Nassim Road, Singapore 258422; 34 Nassim Road, Singapore 258419; 32B Nassim Road, Singapore 258411; 30A Nassim Road, Singapore 258405; 30 Nassim Road, Singapore 258404; 32A Nassim Road, Singapore 258410; 32F Nassim Road, Singapore 258413; 34A Nassim Road, Singapore 258420; 30B Nassim Road, Singapore 258406; 32G Nassim Road, Singapore 258414"
91,5,WEST COAST,CLSZ05,N,CLEMENTI,CL,WEST REGION,WR,0BE668D9B5368B3F,2014/12/05,19293.76250000000,33172.62280000000,3644.13182846000,722588.68370199995,"Japanese Secondary School, 201 West Coast Road, Singapore 127383; Bus stop at Tanglin Secondary School (20291); 178 Pandan Loop, Singapore 128370"
92,8,BAYSHORE,BDSZ08,N,BEDOK,BD,EAST REGION,ER,9767E56D0C09A484,2014/12/05,40835.37700000000,32903.59650000000,8698.59695849000,2550461.67338000005,"Bayshore Park, 50 Bayshore Road, Singapore 469977; The Bayshore, 24 Bayshore Road, Singapore 469971; The Bayshore, 26 Bayshore Road, Singapore 469972; Costa Del Sol, 72 Bayshore Road, Singapore 469988; The Bayshore, 22 Bayshore Road, Singapore 469970; Bayshore Park, 64 Bayshore Road, Singapore 469984"
93,3,BENOI SECTOR,PNSZ03,N,PIONEER,PN,WEST REGION,WR,7CD74371F5BAD860,2014/12/05,11668.24410000000,33336.52670000000,6249.47706765000,2042630.98025000002,"Bus stop opposite Shimano Private Limited (23201); 13 Benoi Sector, Singapore 629860"
94,2,GUL CIRCLE,PNSZ02,N,PIONEER,PN,WEST REGION,WR,029BD940F4455194,2014/12/05,9693.97120000000,33074.42900000000,7268.45075202000,3260399.45892000012,"Bus stop before Gul Street 1 (24239); 140 Gul Circle, Singapore 629601; 1 Gul Street 1, Singapore 629314; 138 Gul Circle, Singapore 629600; 136 Gul Circle, Singapore 629599; 3 Gul Street 1, Singapore 629316; 4 Gul Way, Singapore 629192; 134 Gul Circle, Singapore 629598"
95,2,CHATSWORTH,TNSZ02,N,TANGLIN,TN,CENTRAL REGION,CR,06B9FD8607810069,2014/12/05,26896.40190000000,31045.01870000000,5469.44109516000,1346152.77734000003,"15A Chatsworth Road, Singapore 249770; Casa Chatsworth, 15B Chatsworth Road, Singapore 249771; 15D Chatsworth Road, Singapore 249773; 15 Chatsworth Road, Singapore 249769; 9 Chatsworth Park, Singapore 249816; 11A Chatsworth Road, Singapore 249766; Casa Chatsworth, 15C Chatsworth Road, Singapore 249772; 13 Chatsworth Road, Singapore 249767; 3A Chatsworth Park, Singapore 249810; 5 Chatsworth Park, Singapore 249812"
96,5,KAMPONG GLAM,RCSZ05,Y,ROCHOR,RC,CENTRAL REGION,CR,DCC789993ED54477,2014/12/05,30934.98900000000,31623.14830000000,1681.62699512000,171334.39197400000,"Bus stop opposite Burlington Square (07517); Burlington Square, 175B Bencoolen Street, Singapore 189651; Summer View Hotel, 173 Bencoolen Street, Singapore 189642; 171 Bencoolen Street, Singapore 189641; Burlington Square, 175A Bencoolen Street, Singapore 189650; 169 Bencoolen Street, Singapore 189640; Hotel Ibis Singapore on Bencoolen, 170 Bencoolen Street, Singapore 189657; 138 Prinsep Street, Singapore 188659; Life Kindergarten, 144 Prinsep Street, Singapore 188657; Burlington Square, 175 Bencoolen Street, Singapore 189649"
97,8,SELEGIE,RCSZ08,Y,ROCHOR,RC,CENTRAL REGION,CR,E8FA232C5BEEA956,2014/12/05,29817.33040000000,31611.00390000000,1478.04996950000,49626.01833120000,"153 Selegie Road, Singapore 188316; 147 Selegie Road, Singapore 188313; Selegie Court, 149 Selegie Road, Singapore 188314; Selegie Court, 145 Selegie Road, Singapore 188312; 151 Selegie Road, Singapore 188315; 141 Selegie Road, Singapore 188310; 139 Selegie Road, Singapore 188309; 159 Selegie Road, Singapore 188317; Hotel 81 Selegie, 161 Selegie Road, Singapore 188318; 28 Niven Road, Singapore 228375"
98,7,MOUNT EMILY,RCSZ07,Y,ROCHOR,RC,CENTRAL REGION,CR,D8225E737A6496B4,2014/12/05,29583.25550000000,31639.48100000000,2301.23030004000,193992.34527799999,"19 Upper Wilkie Road, Singapore 228126; Mount Emily Children%27S Home, 11 Upper Wilkie Road, Singapore 228120; Parc Emily, 9 Mount Emily Road, Singapore 228492; Parc Emily, 11 Mount Emily Road, Singapore 228493; Parc Emily, 13 Mount Emily Road, Singapore 228494; Hangout @ Mount Emily, 10A Upper Wilkie Road, Singapore 228119; Parc Emily, 5 Mount Emily Road, Singapore 228490; 65 Mount Emily Road, Singapore 228488; Parc Emily, 7 Mount Emily Road, Singapore 228491; Parc Emily, 15 Mount Emily Road, Singapore 228495"
99,4,ROCHOR CANAL,RCSZ04,Y,ROCHOR,RC,CENTRAL REGION,CR,6DFA7E9068F7B4CE,2014/12/05,30693.78300000000,31819.13160000000,1686.00945279000,120171.32121400000,"Bus stop at Queen Street Terrace (01109); Stamford Primary School, 1 Victoria Lane, Singapore 198423; 91A Sungei Road, Singapore 207819; Church Of Our Lady Of Lourdes, 50 Ophir Road, Singapore 188690; 99 Rochor Canal Road, Singapore 198552"
100,9,CRAWFORD,KLSZ09,N,KALLANG,KL,CENTRAL REGION,CR,97A1E6DEEC6C442D,2014/12/05,31396.89060000000,31457.28700000000,4634.78429572000,850853.91377400002,"Southbank, 883 North Bridge Road, Singapore 198785; Bus stop at Eng Cheong Tower (01341); Southbank, 881 North Bridge Road, Singapore 198784; Bus stop opposite Blk 4 (01349)"
101,5,MARGARET DRIVE,QTSZ05,N,QUEENSTOWN,QT,CENTRAL REGION,CR,F7ADADFB700DFB84,2014/12/05,25202.76140000000,31065.97310000000,5969.64503933000,1026467.39275999996,"Queenstown Primary School, 310 Margaret Drive, Singapore 149303; Queenstown Baptist Church, 495 Margaret Drive, Singapore 149305; Bus stop at Queenstown Primary School (11499); Rainbow Centre Margaret Drive Special School, 501 Margaret Drive, Singapore 149306; Bus stop opposite Queenstown Primary School (11491); Skyville @ Dawson, 88A Dawson Road, Singapore 143088"
102,1,TANGLIN,ORSZ01,Y,ORCHARD,OR,CENTRAL REGION,CR,876C892801F74239,2014/12/05,27162.87570000000,31905.73240000000,1864.48866532000,167537.06538399999,"4 Napier Road, Singapore 258498; Bus stop at Singapore Botanic Gardens (13019); Bus stop opposite Singapore Botanic Gardens (13011); Gleneagles Hospital, 6A Napier Road, Singapore 258500"
103,3,MARINE PARADE,MPSZ03,N,MARINE PARADE,MP,CENTRAL REGION,CR,44613908A004F20C,2014/12/05,36263.98270000000,31684.26560000000,6019.27909596000,1160017.47826000000,"803 Mountbatten Road, Singapore 437803; 61 Jalan Seaview, Singapore 438374; Katong Telecommunication Complex, 375 Tanjong Katong Road, Singapore 437132; 63 Jalan Seaview, Singapore 438376; 836 Mountbatten Road, Singapore 437829; 1 Bournemouth Road, Singapore 439659; 834 Mountbatten Road, Singapore 437827; 801 Mountbatten Road, Singapore 437801; 65 Jalan Seaview, Singapore 438378; One Amber, 3 Amber Gardens, Singapore 439972"
104,7,JURONG RIVER,JESZ07,N,JURONG EAST,JE,WEST REGION,WR,4B0C61FF99008ACC,2014/12/05,16367.55600000000,33519.99260000000,6612.90323098000,2560995.93712999998,
105,2,GEYLANG BAHRU,KLSZ02,N,KALLANG,KL,CENTRAL REGION,CR,F1279A5E67F0E58D,2014/12/05,32110.06260000000,33765.67460000000,3745.03401723000,735502.22642399999,"535 Kallang Bahru, Singapore 339351; 252 Kallang Bahru, Singapore 339353; 250 Kallang Bahru, Singapore 339350"
106,3,FABER,CLSZ03,N,CLEMENTI,CL,WEST REGION,WR,180FC14DBEF3A0A4,2014/12/05,19489.65590000000,33800.86620000000,4665.75598129000,948158.91354300000,"Faber Hills, 43 Faber Drive, Singapore 129373; Faber Hills, 56 Faber Avenue, Singapore 129555; Faber Hills, 24 Faber Drive, Singapore 129354; Faber Hills, 41 Faber Drive, Singapore 129371; Faber Hills, 22 Faber Drive, Singapore 129352; Faber Hills, 54 Faber Avenue, Singapore 129554; Faber Hills, 79 Faber Green, Singapore 129302; Faber Hills, 39 Faber Drive, Singapore 129369; Faber Hills, 37 Faber Drive, Singapore 129367; Faber Hills, 77 Faber Green, Singapore 129301"
107,3,MALCOLM,NVSZ03,N,NOVENA,NV,CENTRAL REGION,CR,554AD3E3224BB5DD,2014/12/05,28070.25840000000,33930.25680000000,5346.80971968000,1321089.88085999992,"27 Malcolm Road, Singapore 308266; 29 Malcolm Road, Singapore 308268; 26B Malcolm Road, Singapore 308265; 26A Malcolm Road, Singapore 308264; 8 Malcolm Park, Singapore 308296; 28 Malcolm Road, Singapore 308267; 25 Malcolm Road, Singapore 308263"
108,6,BEDOK SOUTH,BDSZ06,N,BEDOK,BD,EAST REGION,ER,1E89C4218E6421C2,2014/12/05,40379.42080000000,33744.22380000000,7811.58902531000,2997307.45855000010,"Bedok Temporary Bus Interchange, 2 Bedok North Drive, Singapore 465513"
109,1,BENDEMEER,KLSZ01,N,KALLANG,KL,CENTRAL REGION,CR,69C9F7CD6F08EA3A,2014/12/05,31175.95710000000,33827.94450000000,5603.00091056000,1376830.04526999989,"994 Bendemeer Road, Singapore 339943; 996 Bendemeer Road, Singapore 339944; 30 Bendemeer Road, Singapore 330030"
110,1,BALESTIER,NVSZ01,N,NOVENA,NV,CENTRAL REGION,CR,779D071A741FD0DE,2014/12/05,29975.26390000000,34194.06760000000,6804.34101071000,1926622.00222999998,"312 Balestier Road, Singapore 329743; 310 Balestier Road, Singapore 329742; 326 Balestier Road, Singapore 329758; Crescent Building, 320 Balestier Road, Singapore 329924; 308 Balestier Road, Singapore 329741; 315 Balestier Road, Singapore 329745; 328 Balestier Road, Singapore 329760; 317 Balestier Road, Singapore 329746; 330 Balestier Road, Singapore 329762; 319 Balestier Road, Singapore 329747"
111,4,TUAS BAY,TSSZ04,N,TUAS,TS,WEST REGION,WR,B16AC41469AD9EB5,2014/12/05,6921.15880000000,33401.41890000000,10583.71112630000,3203306.03725000005,"Tuas Bay Industrial Centre, 50 Tuas South Avenue 2, Singapore 637532; Tuas Bay Industrial Centre, 48 Tuas South Avenue 2, Singapore 637533; Tuas Bay Industrial Centre, 46 Tuas South Avenue 2, Singapore 637534; Tuas Bay Industrial Centre, 52 Tuas South Avenue 2, Singapore 637531; Tuas Bay Industrial Centre, 54 Tuas South Avenue 2, Singapore 637530; Tuas Bay Industrial Centre, 44 Tuas South Avenue 2, Singapore 637535; Tuas Bay Industrial Centre, 56 Tuas South Avenue 2, Singapore 637529; Tuas Bay Industrial Centre, 42 Tuas South Avenue 2, Singapore 637536; Tuas Bay Industrial Centre, 58 Tuas South Avenue 2, Singapore 637528; Tuas Bay Industrial Centre, 40 Tuas South Avenue 2, Singapore 637537"
112,1,JOO KOON,PNSZ01,N,PIONEER,PN,WEST REGION,WR,B1041F5E831D2636,2014/12/05,10883.94660000000,34203.69590000000,8601.20281636000,2349378.26566000003,"Joo Koon MRT Station (EW29), 91 Joo Koon Circle, Singapore 629116; Bus stop at Singapore Shinei Sangyo (23499); Bus stop at Union Containers (23491); 83 Joo Koon Circle, Singapore 629109"
