"Project Name","Address","No. of Units","Area (sqm)","Type of Area","Transacted Price ($)","Unit Price ($ psm)","Unit Price ($ psf)","Contract Date","Property Type","Tenure","Completion Date","Type of Sale","Purchaser Address Indicator","Postal District","Postal Sector","Postal Code","Planning Region","Planning Area","Postal Code","latitude","longitude"
"1 CANBERRA","3 Canberra Drive  #09-08 ","1","88","Strata","694212","7889","733","2013-09-05","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768102","North Region","Yishun","768102","1.43760510340114","103.830075417872"
"1 CANBERRA","13 Canberra Drive  #11-26 ","1","100","Strata","843800","8438","784","2013-09-12","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768072","North Region","Yishun","768072","1.43741110401792","103.829105336868"
"1 CANBERRA","11 Canberra Drive  #06-24 ","1","97","Strata","759712","7832","728","2013-10-04","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768071","North Region","Yishun","768071","1.43722031279163","103.828938582947"
"1 CANBERRA","5 Canberra Drive  #11-12 ","1","88","Strata","714200","8116","754","2013-08-07","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768103","North Region","Yishun","768103","1.43751100669455","103.829826850122"
"1 CANBERRA","23 Canberra Drive  #08-47 ","1","97","Strata","780000","8041","747","2013-08-21","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768077","North Region","Yishun","768077","1.43847229844254","103.829893423878"
"1 CANBERRA","25 Canberra Drive  #03-50 ","1","88","Strata","686400","7800","725","2013-10-21","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768078","North Region","Yishun","768078","1.43824107091949","103.830028911906"
"1 CANBERRA","3 Canberra Drive  #10-07 ","1","88","Strata","692212","7866","731","2013-08-13","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768102","North Region","Yishun","768102","1.43760510340114","103.830075417872"
"1 CANBERRA","25 Canberra Drive  #08-50 ","1","88","Strata","692000","7864","731","2013-09-04","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768078","North Region","Yishun","768078","1.43824107091949","103.830028911906"
"1 CANBERRA","25 Canberra Drive  #03-51 ","1","98","Strata","762612","7782","723","2013-10-11","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768078","North Region","Yishun","768078","1.43824107091949","103.830028911906"
"1 CANBERRA","11 Canberra Drive  #04-24 ","1","97","Strata","739512","7624","708","2013-08-29","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768071","North Region","Yishun","768071","1.43722031279163","103.828938582947"
