postcode,subzone,district
130014,911.0,05
130017,911.0,05
130018,911.0,05
130019,911.0,05
130020,911.0,05
130021,911.0,05
130022,911.0,05
130023,911.0,05
130026,911.0,05
130027,911.0,05
130030,911.0,05
130031,911.0,05
130032,911.0,05
130034,911.0,05
130035,911.0,05
130036,911.0,05
130037,911.0,05
130038,911.0,05
130039,911.0,05
131028,911.0,05
132028,911.0,05
133028,911.0,05
134028,911.0,05
138638,909.0,05
138642,909.0,05
138678,909.0,05
138679,909.0,05
138680,909.0,05
138687,909.0,05
139525,907.0,05
139531,907.0,05
140007,902.0,03
140019,902.0,03
140020,902.0,03
140021,902.0,03
140022,902.0,03
140023,902.0,03
140024,902.0,03
140025,902.0,03
140028,902.0,03
140030,902.0,03
140037,902.0,03
140038,902.0,03
140041,902.0,03
140042,902.0,03
140045,902.0,03
140046,902.0,03
140047,902.0,03
140048,902.0,03
140049,902.0,03
140050,902.0,03
140051,902.0,03
140052,902.0,03
140055,902.0,03
140056,902.0,03
140057,902.0,03
140058,902.0,03
140059,902.0,03
140060,902.0,03
140061,902.0,03
140062,902.0,03
140063,902.0,03
140064,902.0,03
140065,902.0,03
140066,902.0,03
140067,902.0,03
140068,902.0,03
140069,902.0,03
140070,902.0,03
140071,902.0,03
140072,902.0,03
140073,902.0,03
140075,902.0,03
140079,902.0,03
140081,902.0,03
140082,902.0,03
140083,902.0,03
140084,902.0,03
140085,902.0,03
140086,902.0,03
140087,902.0,03
140088,902.0,03
140089,902.0,03
140090,902.0,03
140091,902.0,03
140092,902.0,03
140093,902.0,03
140094,902.0,03
140095,902.0,03
140096,902.0,03
140097,902.0,03
140098,902.0,03
140099,902.0,03
141007,902.0,03
141023,902.0,03
141026,902.0,03
141029,902.0,03
141031,902.0,03
141035,902.0,03
141036,902.0,03
141041,902.0,03
141042,902.0,03
141043,902.0,03
141044,902.0,03
141045,902.0,03
141048,902.0,03
141049,902.0,03
141050,902.0,03
141051,902.0,03
141052,902.0,03
141053,902.0,03
141055,902.0,03
141056,902.0,03
141057,902.0,03
141058,902.0,03
141060,902.0,03
141080,902.0,03
141081,902.0,03
141082,902.0,03
141083,902.0,03
141089,902.0,03
141090,902.0,03
141092,902.0,03
141150,906.0,03
141168,906.0,03
142027,904.0,03
142032,904.0,03
142033,904.0,03
142034,904.0,03
142043,904.0,03
142044,904.0,03
142050,904.0,03
142052,904.0,03
142053,904.0,03
142055,904.0,03
142056,904.0,03
142058,904.0,03
142059,904.0,03
142061,904.0,03
142062,904.0,03
142089,904.0,03
142090,904.0,03
142091,904.0,03
142093,904.0,03
143040,904.0,03
143061,904.0,03
143062,904.0,03
144061,905.0,03
148954,906.0,03
148955,906.0,03
148957,906.0,03
150001,207.0,03
150002,207.0,03
150003,207.0,03
150005,207.0,03
150007,207.0,03
150008,207.0,03
150009,207.0,03
150010,207.0,03
150011,207.0,03
150012,207.0,03
150013,207.0,03
150014,207.0,03
150015,207.0,03
150016,207.0,03
150035,207.0,03
150036,207.0,03
150037,207.0,03
150038,207.0,03
150043,207.0,03
150044,207.0,03
150045,207.0,03
150046,207.0,03
150049,207.0,03
150050,207.0,03
150051,207.0,03
150052,207.0,03
150053,207.0,03
150054,207.0,03
150056,207.0,03
150058,207.0,03
150059,207.0,03
150061,207.0,03
150068,207.0,03
150069,207.0,03
150070,207.0,03
150071,207.0,03
150072,207.0,03
150078,207.0,03
150080,207.0,03
150081,207.0,03
150082,207.0,03
150083,207.0,03
150086,207.0,03
150087,207.0,03
150088,207.0,03
150089,207.0,03
150090,207.0,03
150091,207.0,03
150092,207.0,03
150093,207.0,03
150101,208.0,03
150102,208.0,03
150103,208.0,03
150104,208.0,03
150105,208.0,03
150106,208.0,03
150110,208.0,03
150111,208.0,03
150112,208.0,03
150113,208.0,03
150114,208.0,03
150115,208.0,03
150116,208.0,03
150117,208.0,03
150118,208.0,03
150121,208.0,03
150122,208.0,03
150124,208.0,03
150125,208.0,03
150127,208.0,03
150128,208.0,03
150129,208.0,03
150130,208.0,03
150161,208.0,03
150164,208.0,03
150165,208.0,03
151001,203.0,03
151002,203.0,03
151003,203.0,03
151006,203.0,03
151007,203.0,03
151008,203.0,03
151009,203.0,03
151010,203.0,03
151011,203.0,03
151012,203.0,03
151013,203.0,03
151014,203.0,03
151017,203.0,03
151018,203.0,03
151019,203.0,03
151020,203.0,03
151021,203.0,03
151022,203.0,03
151028,203.0,03
151039,203.0,03
151040,203.0,03
151047,203.0,03
151048,203.0,03
151055,203.0,03
151057,203.0,03
151063,203.0,03
151073,203.0,03
151074,203.0,03
151075,203.0,03
151076,203.0,03
151077,203.0,03
151116,208.0,03
151117,208.0,03
151119,208.0,03
151121,208.0,03
151123,208.0,03
151124,208.0,03
151125,208.0,03
151126,208.0,03
152028,207.0,03
152063,207.0,03
152075,207.0,03
152119,208.0,03
152120,208.0,03
152124,208.0,03
153075,203.0,03
158746,203.0,03
158747,203.0,03
158748,203.0,03
158749,203.0,03
159013,206.0,03
159015,206.0,03
159949,906.0,03
159958,906.0,03
159960,906.0,03
159967,906.0,03
160001,209.0,03
160003,209.0,03
160005,209.0,03
160007,209.0,03
160009,209.0,03
160010,209.0,03
160020,209.0,03
160022,209.0,03
160024,209.0,03
160026,209.0,03
160027,209.0,03
160028,209.0,03
160030,209.0,03
160032,209.0,03
160033,209.0,03
160034,209.0,03
160035,209.0,03
160036,209.0,03
160037,209.0,03
160038,209.0,03
160040,209.0,03
160041,209.0,03
160042,209.0,03
160043,209.0,03
160044,209.0,03
160045,209.0,03
160046,209.0,03
160047,209.0,03
160048,209.0,03
160049,209.0,03
160050,209.0,03
160051,209.0,03
160052,209.0,03
160053,209.0,03
160055,209.0,03
160056,209.0,03
160057,209.0,03
160058,209.0,03
160059,209.0,03
160064,209.0,03
160065,209.0,03
160066,209.0,03
160071,209.0,03
160072,209.0,03
160073,209.0,03
160074,209.0,03
160075,209.0,03
160076,209.0,03
160077,209.0,03
160078,209.0,03
160079,209.0,03
160080,209.0,03
160081,209.0,03
160082,209.0,03
160087,209.0,03
160094,209.0,03
160095,209.0,03
160104,211.0,03
160105,211.0,03
160106,211.0,03
160107,211.0,03
160108,211.0,03
160109,211.0,03
160110,211.0,03
160111,211.0,03
160113,211.0,03
160115,211.0,03
160116,211.0,03
160117,211.0,03
160120,211.0,03
160121,211.0,03
160122,211.0,03
160123,211.0,03
160124,211.0,03
160125,211.0,03
160128,211.0,03
160129,211.0,03
160130,211.0,03
160131,211.0,03
160132,211.0,03
160133,211.0,03
160134,211.0,03
160135,211.0,03
160136,211.0,03
160137,211.0,03
160138,211.0,03
160139,211.0,03
160140,211.0,03
160141,211.0,03
160142,211.0,03
160143,211.0,03
160144,211.0,03
160145,211.0,03
160146,211.0,03
160147,211.0,03
160148,211.0,03
160149,211.0,03
160150,211.0,03
161001,4801.0,03
161002,4801.0,03
161003,4801.0,03
161004,4801.0,03
161005,4801.0,03
161006,4801.0,03
161008,4801.0,03
161010,4801.0,03
161014,4801.0,03
161017,4801.0,03
161019,4801.0,03
161021,4801.0,03
161023,4801.0,03
161025,4801.0,03
161029,4801.0,03
161034,4801.0,03
161036,4801.0,03
161038,4801.0,03
161042,4801.0,03
161044,4801.0,03
161046,4801.0,03
161048,4801.0,03
161050,4801.0,03
161052,4801.0,03
161053,4801.0,03
161054,4801.0,03
161055,4801.0,03
161056,4801.0,03
161057,4801.0,03
161058,4801.0,03
161077,4801.0,03
161078,4801.0,03
161079,4801.0,03
161118,204.0,03
161120,204.0,03
161121,204.0,03
161126,204.0,03
161127,204.0,03
162002,209.0,03
162004,209.0,03
162006,209.0,03
162008,209.0,03
162009,209.0,03
162010,209.0,03
162011,209.0,03
162012,209.0,03
162013,209.0,03
162018,209.0,03
162025,209.0,03
162026,209.0,03
162078,209.0,03
162118,204.0,03
162119,204.0,03
162131,204.0,03
163002,4801.0,03
163004,4801.0,03
163006,4801.0,03
163008,4801.0,03
163009,4801.0,03
163012,4801.0,03
163016,4801.0,03
163017,4801.0,03
163018,4801.0,03
163019,4801.0,03
163020,4801.0,03
163021,4801.0,03
163023,4801.0,03
163027,4801.0,03
163028,4801.0,03
163078,4801.0,03
163118,204.0,03
163119,204.0,03
163126,204.0,03
163127,204.0,03
163131,204.0,03
164002,210.0,03
164004,210.0,03
164006,210.0,03
164008,210.0,03
164010,210.0,03
164020,210.0,03
164024,210.0,03
164025,210.0,03
164026,210.0,03
164027,210.0,03
164118,204.0,03
164119,204.0,03
164127,204.0,03
165004,210.0,03
165006,210.0,03
165008,210.0,03
165022,210.0,03
165026,210.0,03
166002,210.0,03
166022,210.0,03
166026,210.0,03
167026,204.0,03
168647,210.0,03
168651,210.0,03
168789,216.0,03
168790,216.0,03
169016,4801.0,03
169279,204.0,03
169479,204.0,03
169480,204.0,03
169568,204.0,03
169586,204.0,03
169588,204.0,03
